audio_base,effect_key,variant_idx,variant_path,original_transcript,noisy_transcript,word_error_rate,character_similarity,word_overlap,length_ratio,intent_preserved,intent_confidence,semantic_similarity,noise_impact_severity,intent_category,error_types,critical_words_affected,effect_params
live_simple_84-45-0_openai,background_noise_all,pink_noise_db-5,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_pink_noise_db-5.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",,1.0,0.0,0.0,0.0,False,0.0,0.0,high,question,complete_failure,entire content,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/pink_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,white_noise_db-5,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_white_noise_db-5.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister your bay works? What's the latitude launches with for Seattle?",0.2857142857142857,0.8488372093023255,0.6111111111111112,1.0975609756097562,True,0.85,0.9,medium,question,word_substitution;entity_confusion,Gates;long,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/white_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,pink_noise_db0,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_pink_noise_db0.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",,1.0,0.0,0.0,0.0,False,0.0,0.0,high,question,complete_failure,,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/pink_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,brown_noise_db-15,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_brown_noise_db-15.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Pay, you know, where mister Gates works? What's the latitude and long for Seattle?",0.07142857142857142,0.975609756097561,0.8666666666666667,1.0,True,0.99,0.99,low,question,word_substitution,Hey,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/brown_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,pink_noise_db-15,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_pink_noise_db-15.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Cave. You know, where mister Gates works? What's the latitude and long for Seattle?",0.07142857142857142,0.9575757575757575,0.8666666666666667,1.0121951219512195,True,0.98,0.99,low,question,word_substitution,Hey,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/pink_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,brown_noise_db-5,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_brown_noise_db-5.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Pay, you know, where mister Gates works? What's the latitude and long for Seattle?",0.07142857142857142,0.975609756097561,0.8666666666666667,1.0,True,0.99,0.99,low,question,word_substitution,Hey,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/brown_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,white_noise_db0,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_white_noise_db0.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey. You know, where is your vapor? What's the right the wanted in seattle?",0.5714285714285714,0.7388535031847133,0.2857142857142857,0.9146341463414634,False,0.2,0.1,high,question,transcription_degradation;word_substitution;entity_confusion;command_confusion;semantic_drift,mister Gates;latitude and long;where is your vapor;right the wanted,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/white_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,white_noise_db-15,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_white_noise_db-15.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/white_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,brown_noise_db0,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_brown_noise_db0.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Pay, you know, where mister Gates works? What's the latitude and long for Seattle?",0.07142857142857142,0.975609756097561,0.8666666666666667,1.0,True,0.99,0.99,low,question,word_substitution,Hey,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/brown_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,car_outside_5_db-15,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_car_outside_5_db-15.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/car_outside_5.webm""}"
live_simple_84-45-0_openai,background_noise_all,car_outside_5_db-5,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_car_outside_5_db-5.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/car_outside_5.webm""}"
live_simple_84-45-0_openai,background_noise_all,car_outside_5_db0,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_car_outside_5_db0.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/car_outside_5.webm""}"
live_simple_84-45-0_openai,background_noise_all,mosquito_db0,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_mosquito_db0.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gay tour? What's the latitude and long for Seattle?",0.14285714285714285,0.9440993788819876,0.75,0.9634146341463414,True,0.9,0.95,low,question,word_substitution;entity_confusion,Gates;Gay tour,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/mosquito.webm""}"
live_simple_84-45-0_openai,background_noise_all,mosquito_db-15,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_mosquito_db-15.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/mosquito.webm""}"
live_simple_84-45-0_openai,background_noise_all,mosquito_db-5,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_mosquito_db-5.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gate works? What's the latitude and long for Seattle?",0.07142857142857142,0.9938650306748467,0.8666666666666667,0.9878048780487805,True,0.99,0.99,low,question,word_substitution,Gates,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/mosquito.webm""}"
live_simple_84-45-0_openai,background_noise_all,machine_outside_4_db-5,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_machine_outside_4_db-5.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/machine_outside_4.webm""}"
live_simple_84-45-0_openai,background_noise_all,machine_outside_4_db-15,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_machine_outside_4_db-15.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/machine_outside_4.webm""}"
live_simple_84-45-0_openai,background_noise_all,drilling_outside_1_db-15,audio_comparison_outputs_deepgram/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_drilling_outside_1_db-15.mp3,"Hey, you know, where mister Gates works? What's the latitude and long for Seattle?","Hey, you know, where mister Gates works? What's the latitude and long for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/drilling_outside_1.webm""}"
